DR Number,Address,Cross Street,Location 
101207817,FIGUEROA,FLORENCE                     AV,"(33.9747, -118.2827)"
131104466,MARIPOSA,FRANKLIN,"(34.1054, -118.2992)"
101707767,PETIT,CHATSWORTH,"(34.2648, -118.4979)"
101207925,6TH,SLAUSON                      AV,"(33.9891, -118.3236)"
101207996,47TH,HALLDALE,"(34.001, -118.3023)"
101208021,58TH,HALLDALE,"(33.9884, -118.3024)"
101208044,82ND,WESTERN,"(33.9646, -118.309)"
101208056,71ST                         ST,WESTERN                      AV,"(33.9754, -118.309)"
101208110,92ND                         ST,VERMONT                      AV,"(33.9528, -118.2915)"
101208178,SLAUSON                      AV,VERMONT                      AV,"(33.9892, -118.2915)"
101208223,SLAUSON,CIMARRON,"(33.9891, -118.3157)"
101208240,FIGUEROA                     ST,54TH                         ST,"(33.9933, -118.2827)"
101208259,FIGUEROA                     ST,SLAUSON                      AV,"(33.9892, -118.2827)"
101208510,51ST,BUDLONG,"(33.996, -118.2958)"
101208440,81ST                         ST,AVALON                       BL,"(33.9656, -118.2651)"
101208441,81ST                         ST,AVALON                       BL,"(33.9656, -118.2651)"
101208474,WESTERN                      AV,83RD                         ST,"(33.9637, -118.309)"
101208475,WESTERN                      AV,83RD                         ST,"(33.9637, -118.309)"
131104677,YORK,MESA,"(34.1174, -118.1861)"
131104676,FLETCHER,SAN FERNANDO,"(34.1161, -118.2441)"
101208683,CRENSHAW,SLAUSON,"(33.989, -118.3308)"
101208711,83RD                         ST,FIGUEROA                     ST,"(33.9642, -118.2827)"
101208759,83RD                         ST,VERMONT                      AV,"(33.9637, -118.2916)"
101208790,81ST                         ST,SAN PEDRO,"(33.9662, -118.2695)"
101208823,FLORENCE,CRENSHAW                     BL,"(33.9745, -118.3309)"
101208875,78TH,BROADWAY,"(33.9689, -118.2783)"
101208891,87TH,VERMONT,"(33.959, -118.2917)"
101209067,62ND,WESTERN,"(33.9834, -118.3089)"
101209082,55TH                         ST,VERMONT                      AV,"(33.9923, -118.2915)"
101209088,83RD,VERMONT                      AV,"(33.9636, -118.2914)"
101209110,83RD                         ST,VERMONT                      AV,"(33.9636, -118.2914)"
101209113,FLORENCE                     ST,CRENSHAW                     BL,"(33.9745, -118.3309)"
101209152,78TH                         ST,SAN PEDRO,"(33.9688, -118.2695)"
101209248,80TH,NORMANDIE,"(33.9664, -118.3003)"
101209259,52ND,HOOVER,"(33.9957, -118.2871)"
101209267,59TH                         ST,WESTERN                      AV,"(33.9876, -118.3089)"
131104899,CRESTWOOD                    WY,FIGUEROA                     ST,"(34.1313, -118.1871)"
101209322,WEST                         BL,HYDE PARK,"(33.9806, -118.3352)"
101209325,SLAUSON,5TH                          AV,"(33.9891, -118.3226)"
101209326,SLAUSON,5TH                          AV,"(33.9891, -118.3226)"
101209327,SLAUSON,5TH                          AV,"(33.9891, -118.3226)"
101209389,SAN PEDRO                    ST,76TH                         ST,"(33.9713, -118.2695)"
101209391,79TH,VERMONT                      AV,"(33.9678, -118.2918)"
101209399,64TH                         ST,8TH                          ST,"(33.9818, -118.3265)"
101209406,FLORENCE,VERMONT,"(33.9746, -118.2916)"
101209429,74TH                         ST,MAIN                         ST,"(33.973, -118.2739)"
101209444,52ND                         ST,4TH                          AV,"(33.995, -118.3214)"
101209448,60TH                         ST,VERDUN,"(33.9853, -118.3464)"
101209556,84TH,VERMONT,"(33.9628, -118.2916)"
101209535,WESTERN,54TH,"(33.9933, -118.3089)"
101209594,77TH                         ST,FIGUEROA,"(33.9698, -118.2827)"
101209604,78TH,HOOVER,"(33.9688, -118.2871)"
101209605,66TH,WESTERN,"(33.9791, -118.309)"
101209616,69TH                         ST,WESTERN                      AV,"(33.977, -118.309)"
101209623,HOOVER                       ST,76TH                         ST,"(33.9707, -118.2871)"
131104986,AVENUE 55,FIGUEROA                     ST,"(34.1083, -118.1955)"
101209659,HYDE PARK                    BL,WEST                         BL,"(33.9806, -118.3352)"
101209660,HYDE PARK                    BL,WEST                         BL,"(33.9806, -118.3352)"
101209665,63RD                         ST,VICTORIA,"(33.9829, -118.3323)"
101209717,80TH,FIGUEROA,"(33.9669, -118.2827)"
101209819,BUDLONG,62ND                         ST,"(33.9833, -118.2958)"
131105021,UNKNOWN,UNKNOWN,"(34.1374, -118.2941)"
101209832,MAIN                         ST,75TH                         ST,"(33.9722, -118.2739)"
101209892,71ST                         ST,8TH                          AV,"(33.9757, -118.3265)"
101209903,VERNON,KENWOOD,"(34.0037, -118.2991)"
101209994,WEST                         BL,HYDE PARK                    BL,"(33.9806, -118.3352)"
101210031,FIGUEROA                     ST,41ST                         ST,"(34.0092, -118.2827)"
101210107,VERMONT,51ST,"(33.9964, -118.2915)"
101210100,FIGUEROA,FLORENCE,"(33.9747, -118.2827)"
101210101,WESTERN,SLAUSON,"(33.9892, -118.3089)"
101210108,SAN PEDRO,FLORENCE,"(33.9747, -118.2695)"
101210122,BROADWAY,FLORENCE                     AV,"(33.9747, -118.2783)"
101210139,71ST                         ST,SAINT ANDREWS                PL,"(33.9754, -118.3112)"
101210140,67TH                         ST,BRYNHURST                    AV,"(33.9781, -118.3338)"
131105142,YORK,ARMADALE,"(34.1225, -118.2121)"
101707776,CHATSWORTH,TAMPA,"(34.2663, -118.5552)"
101210167,75TH                         ST,GRAMERCY,"(33.9719, -118.3133)"
131105156,AVENUE 55,BALTIMORE,"(34.1154, -118.2031)"
131105164,HYPERION,ROWENA,"(34.1097, -118.2709)"
101210254,HYDE PARK,BRYNHURST,"(33.9806, -118.3338)"
101210278,FLOWER                       ST,78TH                         ST,"(33.9689, -118.2813)"
101210292,83RD                         ST,SAN PEDRO,"(33.9638, -118.2695)"
101210308,67TH                         ST,HARVARD                      BL,"(33.9785, -118.3068)"
101210309,67TH                         ST,HARVARD                      BL,"(33.9785, -118.3068)"
101210325,VERMONT                      AV,61ST                         ST,"(33.9846, -118.2915)"
101210333,FLORENCE                     AV,BROADWAY,"(33.9747, -118.2783)"
101210341,MANCHESTER,SAINT ANDREWS,"(33.96, -118.3112)"
101210351,84TH                         ST,AVALON,"(33.9629, -118.2651)"
101210354,FLORENCE                     AV,NORMANDIE                    AV,"(33.9746, -118.3003)"
131105220,DREW,ESTARA,"(34.1217, -118.2406)"
101210386,82ND                         ST,WESTERN                      AV,"(33.9646, -118.309)"
101210415,SLAUSON                      AV,CRENSHAW,"(33.989, -118.3308)"
101210444,74TH                         ST,BROADWAY,"(33.9728, -118.2783)"
101210449,RAYMOND                      AV,71ST                         ST,"(33.9754, -118.2981)"
101210567,CRENSHAW,FLORENCE,"(33.9745, -118.3309)"
101210460,HARVARD                      BL,65TH                         ST,"(33.9806, -118.3068)"
101210465,CRENSHAW                     BL,60TH                         ST,"(33.9854, -118.3308)"
101210490,61ST,FIGUEROA,"(33.9842, -118.2827)"
101210506,WESTERN                      AV,49TH                         ST,"(33.9992, -118.3089)"
101210582,49TH,WESTERN,"(33.9992, -118.3089)"
101210584,84TH                         PL,WALL                         ST,"(33.9619, -118.2717)"
101210597,54TH                         ST,VICTORIA                     ST,"(33.9931, -118.3322)"
131105307,ALDAMA,IRVINGTON                    PL,"(34.1152, -118.1952)"
101210703,MANCHESTER                   AV,VERMONT                      AV,"(33.96, -118.2917)"
101210710,FIGUEROA                     ST,VERNON,"(34.0038, -118.2827)"
101210727,58TH,NORMANDIE,"(33.9899, -118.3002)"
101210746,FLORENCE,FIGUEROA                     ST,"(33.9747, -118.2827)"
131105337,GRANADA,AVENUE 51,"(34.1103, -118.2035)"
101210763,MANCHESTER,W  CENTRAL,"(33.9602, -118.2564)"
101210779,82ND                         ST,HALLDALE,"(33.9646, -118.3025)"
101210781,76TH                         PL,CENTRAL                      AV,"(33.9703, -118.2564)"
101210787,54TH                         ST,VAN NESS,"(33.9932, -118.3177)"
101210816,SLAUSON                      AV,ESTRELLA                     AV,"(33.9892, -118.2849)"
101210847,MANCHESTER                   AV,BROADWAY,"(33.9601, -118.2782)"
101210872,81ST,BROADWAY,"(33.966, -118.2783)"
101210873,79TH                         ST,MCKINLEY,"(33.9675, -118.2608)"
101210879,80TH                         ST,WESTERN                      AV,"(33.9664, -118.309)"
101210888,78TH                         ST,FIGUEROA                     ST,"(33.9689, -118.2827)"
101210889,78TH                         ST,FIGUEROA                     ST,"(33.9689, -118.2827)"
101210902,84TH                         ST,BROADWAY,"(33.9633, -118.2783)"
101210933,8TH                          AV,SLAUSON                      AV,"(33.9891, -118.3264)"
101210978,FLORENCE,WADSWORTH,"(33.9748, -118.2586)"
101210987,59TH                         ST,VERMONT,"(33.9875, -118.2915)"
101210988,59TH                         ST,VERMONT,"(33.9875, -118.2915)"
131105382,BRIER,GLENDALE,"(34.1002, -118.2592)"
101211002,MANCHESTER,VERMONT,"(33.96, -118.2917)"
101211015,SLAUSON                      AV,WEST                         BL,"(33.989, -118.3352)"
101211026,FLOWER,59TH                         PL,"(33.986, -118.281)"
131105385,BRIER,GLENDALE,"(34.1002, -118.2592)"
101211041,VERMONT                      AV,SLAUSON,"(33.9892, -118.2915)"
101211083,WESTERN,80TH,"(33.9664, -118.309)"
101211188,HOOVER,52ND                         ST,"(33.9957, -118.2871)"
101211203,76TH                         ST,BROADWAY,"(33.9708, -118.2783)"
101211212,65TH                         PL,BUDLONG,"(33.9799, -118.2958)"
101211243,VAN NESS                     AV,FLORENCE                     AV,"(33.9746, -118.3177)"
101211298,FLORENCE                     AV,FIGUEROA                     ST,"(33.9747, -118.2827)"
101211351,VERMONT                      AV,FLORENCE,"(33.9746, -118.2918)"
101211357,FIGUEROA,68TH                         ST,"(33.9782, -118.2827)"
101211398,74TH,BROADWAY,"(33.9728, -118.2783)"
101211399,NORMANDIE,VERNON,"(34.0037, -118.3002)"
101211401,88TH,WESTERN,"(33.9582, -118.309)"
101211415,83RD,GRAND,"(33.9642, -118.2804)"
101211432,88TH,WESTERN,"(33.9582, -118.309)"
131105462,YORK                         BL,AVENUE 49,"(34.1219, -118.209)"
101211453,SLAUSON                      AV,WESTERN                      AV,"(33.9892, -118.3089)"
101211454,82ND                         ST,TOWNE                        AV,"(33.9647, -118.2673)"
101211455,87TH                         ST,SAINT ANDREWS                PL,"(33.9591, -118.3112)"
101211457,59TH                         AV,2ND                          AV,"(33.9873, -118.3196)"
101211579,WESTERN                      AV,85TH,"(33.9609, -118.309)"
101211633,75TH                         ST,BROADWAY,"(33.9718, -118.2783)"
131105528,VERMONT,SUNSET,"(34.0982, -118.2918)"
101211740,NORMANDIE,56TH,"(33.9916, -118.3002)"
101211744,57TH,FIGUEROA,"(33.9905, -118.2827)"
101211830,WESTERN                      AV,FLORENCE,"(33.9746, -118.309)"
131105600,VICTORY,SONORA,"(34.1586, -118.2967)"
101211896,73RD                         ST,7TH                          AV,"(33.9737, -118.3243)"
101211898,50TH                         ST,FIGUEROA,"(33.9974, -118.2827)"
101211916,62ND                         ST,SAINT ANDREWS                PL,"(33.9834, -118.3115)"
131105629,ROWENA,HERKIMER,"(34.1083, -118.268)"
101211971,55TH,DENKER,"(33.9924, -118.3046)"
101212009,WESTERN                      AV,83RD                         ST,"(33.9637, -118.309)"
101212037,49TH                         ST,FIGUEROA                     ST,"(33.9987, -118.2827)"
101212105,56TH                         ST,FIGUEROA,"(33.9915, -118.2827)"
101212108,CENTRAL                      AV,109TH                        ST,"(33.9368, -118.2542)"
131105688,SUNSET,ECHO PARK,"(34.0768, -118.2573)"
101212165,MANCHESTER                   AV,BROADWAY,"(33.9601, -118.2782)"
101212169,56TH                         ST,VERMONT                      AV,"(33.9914, -118.2915)"
101212185,FLORENCE                     AV,NORMANDIE                    AV,"(33.9746, -118.3003)"
131105696,CHEVY CHASE,LA CLEDE,"(34.1334, -118.2661)"
101212268,79TH                         ST,NORMANDIE,"(33.9673, -118.3003)"
101212269,75TH,BROADWAY,"(33.9718, -118.2783)"
101212275,78TH                         ST,AVALON,"(33.9684, -118.2651)"
101212312,VERMONT                      AV,59TH                         ST,"(33.9875, -118.2915)"
101212318,57TH                         ST,10TH                         AV,"(33.9909, -118.3282)"
101212319,74TH                         ST,WADSWORTH                    AV,"(33.973, -118.2586)"
131105765,DREW                         ST,WELDON                       AV,"(34.1217, -118.2406)"
131105768,AVENUE 56,MARMION                      WY,"(34.11, -118.195)"
101212394,WESTERN,VERNON,"(34.0037, -118.3089)"
101212395,88TH,WESTERN,"(33.9582, -118.309)"
101212396,SLAUSON,VERMONT,"(33.9892, -118.2915)"
101212398,SAN PEDRO,85TH                         ST,"(33.961, -118.2695)"
101212438,WESTERN                      AV,MANCHESTER                   AV,"(33.96, -118.309)"
101212454,MANCHESTER,WESTERN,"(33.96, -118.309)"
131105823,EDGEMONT,FRANKLIN,"(34.1054, -118.2963)"
101212483,CRENSHAW                     BL,59TH                         ST,"(33.9872, -118.3308)"
101212521,70TH,ESTRELLA,"(33.9761, -118.2849)"
101212492,54TH                         ST,10TH                         AV,"(33.9932, -118.3282)"
101212495,80TH                         ST,GRAMERCY                     PL,"(33.9664, -118.3134)"
101212505,VERMONT                      AV,68TH                         ST,"(33.9779, -118.2918)"
101212553,SLAUSON                      AV,VERMONT                      AV,"(33.9892, -118.2915)"
131105885,SUNSET,ALEXANDRIA,"(34.0981, -118.2983)"
101212600,AVALON                       BL,81ST                         ST,"(33.9656, -118.2651)"
101212603,64TH                         ST,HALLDALE                     AV,"(33.9814, -118.3024)"
101212622,79TH                         ST,WESTERN                      AV,"(33.9673, -118.309)"
101212668,FLOWER,76TH,"(33.9708, -118.2813)"
101212661,81ST,BROADWAY,"(33.966, -118.2783)"
131105909,SILVER LAKE,MORENO,"(34.097, -118.2665)"
131105911,FOUNTAIN,SUNSET,"(34.0958, -118.2841)"
131105917,CYPRESS,FIGUEROA,"(34.0864, -118.219)"
101212726,KANSAS                       AV,MANCHESTER                   AV,"(33.96, -118.294)"
101212734,HOOVER                       ST,47TH                         ST,"(34.0006, -118.2871)"
101212761,52ND,SAINT ANDREWS,"(33.9951, -118.3113)"
101212780,76TH                         ST,BROADWAY,"(33.9708, -118.2783)"
101212799,VERMONT                      AV,84TH                         ST,"(33.9628, -118.2919)"
101212838,HOOVER,SLAUSON                      AV,"(33.9892, -118.287)"
101212895,53RD                         ST,WESTERN                      AV,"(33.9942, -118.3089)"
101212906,SLAUSON                      AV,WESTERN                      AV,"(33.9892, -118.3089)"
131106026,SUNSET,BATES,"(34.0947, -118.2828)"
101212966,5400 S  FIGUEROA                     ST,AV,"(33.9923, -118.287)"
101212982,HOOVER                       ST,57TH                         ST,"(33.9905, -118.2871)"
131106038,MONTANA,ALVARADO,"(34.0806, -118.2616)"
101212983,CENTURY                      BL,WESTERN                      AV,"(33.9455, -118.309)"
101212989,80TH                         ST,VERMONT                      AV,"(33.9667, -118.2914)"
101212990,80TH                         ST,VERMONT                      AV,"(33.9667, -118.2914)"
101213038,HOOVER,48TH                         ST,"(33.9997, -118.2871)"
101213039,52ND                         ST,FIGUEROA                     ST,"(33.9957, -118.2827)"
101213042,MANCHESTER                   AV,NORMANDIE                    AV,"(33.96, -118.3003)"
101213052,FIGUEROA                     ST,VERNON                       AV,"(34.0038, -118.2827)"
101213054,CENTURY                      BL,VAN NESS,"(33.9455, -118.3177)"
101213066,SLAUSON                      AV,3RD                          AV,"(33.9891, -118.3204)"
101213140,54TH                         ST,VERMONT                      AV,"(33.9932, -118.2915)"
101213143,80TH                         ST,NORMANDIE                    AV,"(33.9664, -118.3003)"
131106063,EAGLE ROCK,VERDUGO,"(34.1078, -118.2376)"
101213183,57TH                         ST,WESTERN,"(33.991, -118.3089)"
101213203,83RD                         ST,VERMONT                      AV,"(33.9637, -118.2916)"
131106094,ARROYO GLEN,FIGUEROA,"(34.1136, -118.1862)"
101213255,84TH,BROADWAY,"(33.9633, -118.2783)"
101213270,79TH,FIGUEROA,"(33.9679, -118.2827)"
101213278,76TH,BROADWAY,"(33.9708, -118.2783)"
131106106,ALVARADO,MONTANA,"(34.0818, -118.2609)"
101213363,WESTERN                      AV,85TH                         ST,"(33.9609, -118.309)"
101213399,54TH                         ST,3RD                          AV,"(33.9932, -118.3203)"
131106130,AVENUE 53,MONTE VISTA,"(34.1092, -118.1998)"
101213440,59TH                         ST,FLOWER,"(33.986, -118.281)"
101213519,62ND                         ST,HOOVER                       ST,"(33.9833, -118.287)"
101213560,67TH                         ST,WESTERN                      AV,"(33.9785, -118.309)"
101213596,49TH                         ST,VERMONT                      AV,"(33.9987, -118.2915)"
101213605,54TH                         ST,2ND                          AV,"(33.9932, -118.3193)"
101213609,WESTERN                      AV,76TH                         ST,"(33.9709, -118.309)"
101213656,8TH,64TH,"(33.9818, -118.3265)"
101213671,10TH                         AV,52ND                         ST,"(33.995, -118.3282)"
101213805,76TH                         ST,MAIN                         ST,"(33.9713, -118.2739)"
101213806,76TH                         PL,MAIN                         ST,"(33.9705, -118.2739)"
101213810,108TH                        ST,WESTERN                      AV,"(33.9382, -118.309)"
131106239,AVENUE 58,FIGUEROA,"(34.1101, -118.1918)"
101213858,87TH,WESTERN,"(33.9591, -118.309)"
101213881,51ST,NORMANDIE,"(33.9969, -118.3002)"
101213943,60TH,11TH,"(33.9854, -118.3294)"
101213966,79TH                         ST,WESTERN                      AV,"(33.9673, -118.309)"
101213986,MANCHESTER                   AV,GRAMERCY                     PL,"(33.96, -118.3134)"
101213999,73RD                         ST,AVALON                       BL,"(33.9739, -118.2652)"
131106312,AVENUE 60,FIGUEROA,"(34.1114, -118.1891)"
101214018,83RD                         ST,VERMONT                      AV,"(33.9637, -118.2916)"
101214023,TOWNE                        AV,79TH                         ST,"(33.9674, -118.2673)"
101214024,TOWNE                        AV,79TH                         ST,"(33.9674, -118.2673)"
101214032,CRENSHAW                     BL,SLAUSON                      AV,"(33.989, -118.3308)"
101214055,WESTERN,VERNON,"(34.0037, -118.3089)"
131106343,AVENUE 55,FIGUEROA,"(34.1083, -118.1955)"
101214084,47TH                         ST,VERMONT                      ST,"(34.0006, -118.2915)"
101214090,MANCHESTER                   AV,SAINT ANDREWS                PL,"(33.96, -118.3112)"
101214210,60TH                         ST,BUDLONG                      AV,"(33.9859, -118.2958)"
131106383,MARMION,AVENUE 55,"(34.11, -118.195)"
101214279,75TH                         ST,FIGUEROA                     ST,"(33.9717, -118.2827)"
131106416,SANTA MONICA                 BL,EDGEMONT                     ST,"(34.0909, -118.2961)"
131106418,SUNSET                       BL,ECHO PARK,"(34.0768, -118.2573)"
101214335,VERMONT                      AV,BUDLONG,"(34.0017, -118.2979)"
101214377,S  SAINT ANDREWS                PL,69TH                         ST,"(33.977, -118.3112)"
101214418,VAN NESS                     AV,54TH                         ST,"(33.9932, -118.3171)"
101214426,MANCHESTER,VERMONT                      AV,"(33.96, -118.2915)"
101214448,FLORENCE                     AV,NORMANDIE                    AV,"(33.9746, -118.3003)"
131106450,AVENUE 26,FIGUEROA,"(34.0839, -118.2224)"
101214472,48TH,WESTERN,"(34.0001, -118.3089)"
101214476,CRENSHAW,76TH,"(33.9709, -118.3308)"
131106455,AVENUE 51,YORK,"(34.1211, -118.2048)"
101214492,FIGUEROA,79TH,"(33.9679, -118.2827)"
101214496,BROADWAY,73RD,"(33.9737, -118.2783)"
101214498,BROADWAY,73RD,"(33.9737, -118.2783)"
101214499,BROADWAY,73RD,"(33.9737, -118.2783)"
131106479,CYPRESS,FIGUEROA,"(34.0864, -118.219)"
101214528,HOOVER,48TH,"(33.9997, -118.2871)"
131106495,AVENUE 19,SAN FERNANDO,"(34.0825, -118.2264)"
131106501,MARMION,AVENUE 53,"(34.1087, -118.1976)"
101214653,VERMONT                      AV,62ND                         ST,"(33.9837, -118.2915)"
101214694,ANDREW,68TH                         ST,"(33.979, -118.3112)"
101214699,FIGUEROA,75TH,"(33.9717, -118.2827)"
101214700,CRENSHAW,FLORENCE,"(33.9745, -118.3309)"
101214730,FLORENCE                     AV,NORMANDIE                    AV,"(33.9746, -118.3003)"
101214784,80TH                         ST,FIGUEROA                     ST,"(33.9669, -118.2827)"
101214790,80TH                         ST,WESTERN                      AV,"(33.9664, -118.309)"
101214809,GAGE                         AV,FIGUEROA,"(33.9824, -118.2827)"
101214876,54TH                         ST,VERMONT,"(33.9932, -118.2915)"
101214927,54TH                         ST,9TH                          AV,"(33.9932, -118.327)"
101214987,VERMONT                      AV,FLORENCE,"(33.9746, -118.2918)"
101214988,85TH,BROADWAY,"(33.9616, -118.2782)"
101215026,SLAUSON,4TH,"(33.9891, -118.3215)"
131106635,FAYETTE                      ST,ALDAMA                       AV,"(34.1194, -118.1889)"
131106636,FAYETTE                      ST,ALDAMA                       AV,"(34.1194, -118.1889)"
101215039,67TH,8TH,"(33.9782, -118.3265)"
101215040,67TH,8TH,"(33.9782, -118.3265)"
101215047,SLAUSON,BRYNHURST,"(33.989, -118.333)"
101215064,81ST                         ST,MCKINLEY                     ST,"(33.9656, -118.2608)"
101215069,MAIN                         ST,83RD                         ST,"(33.9642, -118.2739)"
101215085,51ST,FIGUEROA,"(33.9965, -118.2827)"
101215091,76TH                         ST,SAN PEDRO                    ST,"(33.9713, -118.2695)"
101215109,FLORENCE,CRENSHAW,"(33.9745, -118.3309)"
101215139,HOOVER,47TH,"(34.0006, -118.2871)"
131106680,LOS FELIZ,HILLHURST,"(34.1119, -118.2874)"
101215169,47TH                         ST,VERMONT                      AV,"(34.0005, -118.2915)"
101215173,53RD                         ST,HOOVER                       AV,"(33.9942, -118.2871)"
101215186,65TH                         ST,NORMANDIE,"(33.9806, -118.3003)"
101215197,VERMONT,VERNON,"(34.0037, -118.2915)"
101215235,79TH,STANFORD,"(33.9675, -118.263)"
101215245,FLORENCE,BROADWAY,"(33.9747, -118.2783)"
101215255,83,MAIN,"(33.964, -118.2739)"
131106733,SUNSET,VERMONT,"(34.0982, -118.2918)"
101215314,92ND                         ST,VERMONT,"(33.9528, -118.2915)"
101215316,81ST                         ST,SAN PEDRO                    ST,"(33.9656, -118.2695)"
101215353,SLAUSON                      AV,WESTERN                      AV,"(33.9892, -118.3089)"
101215354,GAGE                         AV,HOOVER                       AV,"(33.9819, -118.287)"
101215367,85TH                         ST,FIGUEROA,"(33.9611, -118.2827)"
101215428,FLORENCE                     AV,BRIGHTON,"(33.9746, -118.3014)"
131106779,PAULHAN,AVENUE 46,"(34.127, -118.2145)"
101215530,53RD                         ST,VERMONT,"(33.9941, -118.2915)"
101215578,73RD                         ST,BROADWAY,"(33.9737, -118.2783)"
101215615,65TH                         ST,WESTERN                      AV,"(33.9806, -118.309)"
131106862,SUNSET,HILLHURST,"(34.0982, -118.2874)"
131106863,CYPRESS,ARROYO SECO,"(34.0858, -118.2183)"
101215657,FLORENCE                     AV,VERMONT                      AV,"(33.9746, -118.2916)"
101215686,62ND                         ST,HARVARD                      BL,"(33.9833, -118.3068)"
101215690,54TH                         ST,6TH                          AV,"(33.9932, -118.3236)"
101215703,TOWNE                        AV,79TH                         ST,"(33.9674, -118.2673)"
131106888,NORMANDIE                    AV,SANTA MONICA                 BL,"(34.0908, -118.3005)"
101215732,83RD                         ST,BROADWAY,"(33.9642, -118.2783)"
131106903,AVENUE 60,ECHO,"(34.1104, -118.1884)"
101215809,85TH                         ST,WESTERN,"(33.9609, -118.309)"
131106917,W  AVENUE 34,VERDUGO                      RD,"(34.1137, -118.2353)"
101215833,MAIN                         ST,77TH                         ST,"(33.9699, -118.2739)"
131106919,DIVISION,AVENUE 30,"(34.1033, -118.2351)"
101215896,SLAUSON                      AV,VICTORIA                     AV,"(33.989, -118.3322)"
101215982,74TH                         ST,WESTERN                      AV,"(33.9728, -118.309)"
101216050,SLAUSON,VERMONT,"(33.9892, -118.2915)"
131106948,AVENUE 54,YORK                         BL,"(34.12, -118.1992)"
101216132,56TH                         ST,FIGUEROA                     ST,"(33.9915, -118.2827)"
101216154,54TH                         ST,VERMONT,"(33.9932, -118.2915)"
101216188,91ST,SAINT ANDREWS,"(33.9545, -118.3112)"
131106985,COLORADO,FIGUEROA,"(34.1382, -118.1874)"
101216211,63RD                         PL,HOOVER,"(33.9819, -118.287)"
101216549,59TH,FIGUEROA                     AV,"(33.986, -118.2827)"
131107027,GLENDALE,SILVER LAKE,"(34.1009, -118.2592)"
101216241,47TH                         ST,VERMONT                      AV,"(34.0005, -118.2915)"
131107032,MIDLAND,AVENUE 40,"(34.0913, -118.2091)"
101216268,HYDE PARK,WEST                         BL,"(33.9806, -118.3352)"
101216289,MAIN,76TH                         ST,"(33.9713, -118.2739)"
101216387,WESTERN,MANCHESTER,"(33.96, -118.309)"
101216401,NORMANDIE                    AV,91ST                         ST,"(33.9541, -118.3003)"
101216402,NORMANDIE                    AV,91ST                         ST,"(33.9541, -118.3003)"
140807142,AIRDROME,SHERBOURNE,"(34.0479, -118.3804)"
101216501,SLAUSON,CRENSHAW,"(33.989, -118.3308)"
101216515,SAN PEDRO                    ST,76TH                         ST,"(33.9713, -118.2695)"
101216524,51ST                         ST,WESTERN                      BL,"(33.997, -118.3089)"
101216543,81ST                         ST,WESTERN                      AV,"(33.9655, -118.309)"
101216548,FLORENCE,KANSAS,"(33.9746, -118.2937)"
101216593,54TH,SAINT ANDREWS,"(33.9933, -118.3113)"
101216606,FLORENCE,CRENSHAW,"(33.9745, -118.3309)"
101216614,61ST                         ST,FIGUEROA                     ST,"(33.9842, -118.2827)"
101216653,NORMANDIE,89TH                         ST,"(33.9569, -118.3003)"
101216708,RAYMOND                      AV,VERNON                       AV,"(34.0037, -118.298)"
101216714,SOUTHWEST                    DR,4TH                          AV,"(33.9816, -118.3216)"
101216757,HALLDALE                     AV,51ST                         ST,"(33.9969, -118.3023)"
101216827,48TH,BUDLONG,"(33.9996, -118.2954)"
101216777,NORMANDIE                    AV,80TH                         ST,"(33.9664, -118.3003)"
101216785,59TH                         PL,FIGUEROA                     ST,"(33.986, -118.2827)"
101216803,MAIN                         ST,MANCHESTER                   AV,"(33.9601, -118.2739)"
131107242,YORK,ALDAMA,"(34.1181, -118.1894)"
101216838,57TH                         ST,VERMONT                      AV,"(33.9905, -118.2915)"
101216881,SAINT ANDREWS,VERNON,"(34.0037, -118.3113)"
101216890,76TH                         ST,MAIN                         ST,"(33.9713, -118.2739)"
101216896,CENTURY,WESTERN                      AV,"(33.9455, -118.309)"
101216990,78TH                         ST,TOWNE                        AV,"(33.9688, -118.2674)"
101216996,MANCHESTER,BUDLONG,"(33.96, -118.2959)"
101217010,79TH                         ST,MAIN                         ST,"(33.9679, -118.2739)"
101217097,BROADWAY,73RD                         ST,"(33.9737, -118.2783)"
101217099,77TH,BROADWAY,"(33.9699, -118.2783)"
101217084,82ND                         ST,HOOVER                       ST,"(33.9643, -118.2871)"
101217104,71ST                         ST,FIGUEROA                     ST,"(33.9756, -118.2827)"
131107322,BERENDO,LEXINGTON,"(34.0955, -118.2947)"
101217117,64TH,VERMONT,"(33.981, -118.2914)"
101217142,74TH                         ST,WESTERN                      AV,"(33.9728, -118.309)"
101217143,ARLINGTON                    AV,52ND                         ST,"(33.9951, -118.3182)"
101217218,54TH                         ST,FIGUEROA,"(33.9933, -118.2827)"
131107372,CYPRESS,GRANADA,"(34.0959, -118.2289)"
101217269,63RD                         ST,DENVER                       AV,"(33.9819, -118.2838)"
101217311,8TH                          AV,67TH                         ST,"(33.9782, -118.3265)"
101217312,66TH                         ST,FIGUEROA                     ST,"(33.9798, -118.2827)"
101217321,MANCHESTER,DENKER,"(33.96, -118.3046)"
101217324,SLAUSON,VERMONT,"(33.9892, -118.2915)"
131107391,HYPERION,ROWENA,"(34.1092, -118.2714)"
101217338,FIGUEROA                     ST,83RD                         ST,"(33.9642, -118.2827)"
101217346,50TH                         PL,VERMONT                      AV,"(33.997, -118.2915)"
101217350,58TH                         PL,VERMONT                      AV,"(33.9884, -118.2915)"
